canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_value,value,IC50_nM,pIC50
N[C@@H](CC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069837,=,=,212.0,212.0,212.0,6.673664139071249
N[C@@H](CC(=O)N1CCN(C(=O)c2ccccc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069838,=,=,52.6,52.6,52.6,7.279014255846261
N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(F)cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069839,=,=,45.3,45.3,45.3,7.343901797987169
N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(O)cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069840,=,=,39.0,39.0,39.0,7.4089353929735005
N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(OC(F)(F)F)cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069841,=,=,64.6,64.6,64.6,7.189767482004916
N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069842,=,=,56.4,56.4,56.4,7.248720896016658
N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069843,=,=,45.3,45.3,45.3,7.343901797987169
N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(C(=O)O)cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069844,=,=,53.4,53.4,53.4,7.272458742971444
N[C@@H](CC(=O)N1CCN(C(=O)c2cccc(C(=O)O)c2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069845,=,=,56.9,56.9,56.9,7.244887733604929
CN1CCN(c2ccc(C(=O)N3CCN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CC3)cc2)CC1,CHEMBL2069846,=,=,47.7,47.7,47.7,7.3214816209598865
N[C@@H](CC(=O)N1CCN(C(=O)c2ccco2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069847,=,=,67.7,67.7,67.7,7.169411331314856
